temp,treatment,infection_status,ID,total_spvs,death,secondary
6,1,Infected,817,0,4,FALSE
6,1,Infected,830,0,7,FALSE
6,1,Infected,836,0,7,FALSE
6,1,Infected,818,0,7,FALSE
6,1,Infected,838,0,7,FALSE
6,1,Infected,863,0,7,FALSE
6,1,Infected,848,0,13,FALSE
6,1,Infected,853,0,13,FALSE
6,1,Infected,850,0,14,FALSE
6,1,Infected,802,0,14,FALSE
6,1,Infected,826,0,14,FALSE
6,1,Infected,859,0,18,FALSE
6,1,Infected,865,0,19,FALSE
6,1,Infected,847,0,19,FALSE
6,1,Infected,869,0,19,FALSE
6,1,Infected,841,0,20,FALSE
6,1,Infected,823,0,22,FALSE
6,1,Infected,845,0,27,FALSE
6,1,Infected,851,0,37,FALSE
6,1,Infected,862,0,38,FALSE
6,1,Infected,868,0,41,FALSE
6,1,Infected,812,0,45,FALSE
6,1,Infected,839,0,47,FALSE
6,1,Infected,856,0,49,FALSE
6,1,Infected,805,0,50,FALSE
6,1,Infected,808,0,50,FALSE
6,1,Infected,844,0,50,FALSE
6,1,Infected,835,0,52,FALSE
6,1,Infected,833,0,54,FALSE
6,1,Infected,842,0,54,FALSE
6,1,Infected,815,0,62,FALSE
6,1,Infected,866,0,66,FALSE
6,1,Infected,806,0,67,FALSE
6,1,Infected,857,0,69,FALSE
6,1,Infected,860,0,70,FALSE
6,1,Infected,824,0,73,FALSE
6,1,Infected,872,0,73,FALSE
6,1,Infected,820,0,74,FALSE
6,1,Infected,821,0,81,FALSE
6,1,Infected,814,0,88,FALSE
6,0,Uninfected,837,0,5,FALSE
6,0,Uninfected,819,0,5,FALSE
6,0,Uninfected,825,0,5,FALSE
6,0,Uninfected,861,0,5,FALSE
6,0,Uninfected,870,0,7,FALSE
6,0,Uninfected,813,0,8,FALSE
6,0,Uninfected,807,0,13,FALSE
6,0,Uninfected,849,0,14,FALSE
6,0,Uninfected,810,0,15,FALSE
6,0,Uninfected,858,0,16,FALSE
6,0,Uninfected,801,0,16,FALSE
6,0,Uninfected,816,0,29,FALSE
6,0,Uninfected,852,0,37,FALSE
6,0,Uninfected,867,0,40,FALSE
6,0,Uninfected,834,0,41,FALSE
6,0,Uninfected,840,0,44,FALSE
6,0,Uninfected,831,0,52,FALSE
6,0,Uninfected,843,0,59,FALSE
6,0,Uninfected,822,0,68,FALSE
6,0,Uninfected,804,0,69,FALSE
6,0,Uninfected,855,0,75,FALSE
6,0,Uninfected,828,0,123,FALSE
10,1,Infected,763,0,9,FALSE
10,1,Infected,769,0,29,FALSE
10,1,Infected,747,0,43,FALSE
10,1,Infected,771,0,44,FALSE
10,1,Infected,724,0,45,FALSE
10,1,Infected,735,0,49,FALSE
10,1,Infected,750,0,49,FALSE
10,1,Infected,739,0,52,FALSE
10,1,Infected,748,0,52,FALSE
10,1,Infected,732,0,53,FALSE
10,1,Infected,711,0,55,FALSE
10,1,Infected,702,0,56,FALSE
10,1,Infected,738,0,65,FALSE
10,1,Infected,745,0,75,FALSE
10,1,Infected,717,0,98,FALSE
10,1,Infected,766,0,104,FALSE
10,1,Infected,768,0,109,FALSE
10,1,Infected,762,0,118,FALSE
10,1,Infected,765,0,118,FALSE
10,1,Infected,753,0,132,FALSE
10,1,Infected,757,0,141,FALSE
10,1,Infected,733,0,152,FALSE
10,1,Infected,742,0,153,FALSE
10,1,Infected,760,0,169,FALSE
10,1,Infected,723,0,182,FALSE
10,1,Infected,754,0,194,FALSE
10,1,Infected,751,0,207,FALSE
10,1,Infected,726,0,209,FALSE
10,1,Infected,715,0,214,FALSE
10,1,Infected,709,0,216,FALSE
10,1,Infected,705,0,223,FALSE
10,1,Infected,727,0,231,FALSE
10,1,Infected,708,0,233,FALSE
10,1,Infected,706,0,237,FALSE
10,1,Infected,720,0,238,FALSE
10,1,Infected,736,0,265,FALSE
10,1,Infected,718,0,272,FALSE
10,1,Infected,703,0,282,FALSE
10,1,Infected,721,0,284,FALSE
10,0,Uninfected,719,0,13,FALSE
10,0,Uninfected,701,0,13,FALSE
10,0,Uninfected,725,0,13,FALSE
10,0,Uninfected,755,0,13,FALSE
10,0,Uninfected,734,0,14,FALSE
10,0,Uninfected,752,0,20,FALSE
10,0,Uninfected,761,0,27,FALSE
10,0,Uninfected,743,0,54,FALSE
10,0,Uninfected,710,0,58,FALSE
10,0,Uninfected,713,0,65,FALSE
10,0,Uninfected,767,0,70,FALSE
10,0,Uninfected,764,0,129,FALSE
10,0,Uninfected,770,0,131,FALSE
10,0,Uninfected,704,0,156,FALSE
10,0,Uninfected,731,0,170,FALSE
10,0,Uninfected,740,0,197,FALSE
10,0,Uninfected,758,0,228,FALSE
10,0,Uninfected,737,0,232,FALSE
10,0,Uninfected,707,0,264,FALSE
10,0,Uninfected,728,0,277,FALSE
12,1,Infected,32,2,48,FALSE
12,1,Infected,36,12,55,FALSE
12,1,Infected,42,7,55,FALSE
12,1,Infected,23,10,65,FALSE
12,1,Infected,56,245,75,FALSE
12,1,Infected,53,67,79,FALSE
12,1,Infected,65,182,79,FALSE
12,1,Infected,50,276,80,FALSE
12,1,Infected,47,235,91,FALSE
12,1,Infected,69,47,93,FALSE
